split,model,horizon,RMSE,MAE,R2,daylight_RMSE,n_daylight
test,HistGradientBoosting,18,185.62455956256653,79.3821244053517,0.9778198105753069,253.55843761162845,2344
test,HistGradientBoosting,19,188.99956489219136,72.16549332174014,0.9781527950542045,255.32266155342086,2398
test,HistGradientBoosting,20,201.88004621573546,88.26502967162344,0.9710704667612159,278.9552730517622,2292
test,HistGradientBoosting,21,210.78342274969773,102.28903422874214,0.9605702904767868,298.10191972982074,2188
test,HistGradientBoosting,22,210.07856477306134,105.95293559972517,0.9583154983689307,297.1165522167586,2188
test,HistGradientBoosting,23,204.03857176740763,95.92952032955905,0.9669329573328186,288.5796714186959,2188
test,HistGradientBoosting,24,192.41439349111948,79.88746437762823,0.9761676418020498,262.98208236614147,2343
test,XGBoost,1,74.57116410256701,28.09152178722205,0.9965990742551034,100.74097634585053,2398
test,XGBoost,2,114.7907962672292,50.11586852489656,0.9906473058104419,158.61579351508286,2292
test,XGBoost,3,151.0625996502298,71.14297837285065,0.979749071846769,213.6435991055221,2188
test,XGBoost,4,172.37397905663806,81.40771766327941,0.971936412682591,243.78422595869944,2188
test,XGBoost,5,177.83561969978734,78.65859554661725,0.9748814115937401,251.51097411457343,2188
test,XGBoost,6,175.7393022172123,69.24473190428772,0.9801200984413784,240.16374389068616,2343
test,XGBoost,7,178.458797914675,67.01126349948836,0.9805225888994266,241.07670161477563,2398
test,XGBoost,8,192.7512190850384,81.74981223706908,0.973629066464801,266.29501667818505,2293
test,XGBoost,9,199.8576097403935,94.52332972003886,0.9645479262687277,282.5866091863658,2189
test,XGBoost,10,199.66467097546254,98.59580172798712,0.9623408303669867,282.2946471625495,2189
test,XGBoost,11,192.03250872784213,89.70160390213064,0.9707112037321701,271.5230952528747,2189
test,XGBoost,12,181.411337145289,73.77778830743947,0.9788195749936104,247.8683690319018,2344
test,XGBoost,13,182.38310773597289,68.07010411764249,0.9796605930425347,246.34669555105015,2399
test,XGBoost,14,195.88792316815335,82.41630697761157,0.972767299983471,270.63275803750395,2293
test,XGBoost,15,203.51151310457854,95.63433700276836,0.9632434629644548,287.75788410708043,2189
test,XGBoost,16,204.35973030107718,100.87550588684684,0.9605472926907525,288.96114944857305,2189
test,XGBoost,17,195.26012279149933,91.0498825170292,0.9697134423736627,276.0935520616707,2189
test,XGBoost,18,182.46304684706251,75.02105282754124,0.9785689117984556,249.3152767345091,2344
test,XGBoost,19,185.05500421816663,69.6217866142311,0.9790552133230682,250.0022206478005,2398
test,XGBoost,20,200.02741398800137,85.17643505432817,0.9715989970952537,276.41187913171996,2292
test,XGBoost,21,208.4931865604693,99.07865571540113,0.961422470953382,294.87694484773897,2188
test,XGBoost,22,206.68570646664054,102.85883191610634,0.9596510704541297,292.32171885987844,2188
test,XGBoost,23,198.94446020441015,94.96628096334845,0.9685634769115263,281.37048406196436,2188
test,XGBoost,24,189.22174281380296,78.50663001078713,0.9769519609155386,258.6192627473763,2343
test,CatBoost,1,88.71822624257086,35.56580721476642,0.9951862780068581,119.79325246329905,2398
test,CatBoost,2,122.04203985841617,55.617212811560684,0.9894283807452036,168.58717349856727,2292
test,CatBoost,3,153.80526886914902,74.47114775228835,0.9790070509923725,217.47640644008715,2188
test,CatBoost,4,173.7062008055116,84.27811401307873,0.9715009479194527,245.61687523139815,2188
test,CatBoost,5,179.99115424710698,81.8672444309866,0.9742687995295338,254.51078532924342,2188
test,CatBoost,6,175.66433761754058,71.11506410892608,0.9801370550468613,240.0012132837463,2343
test,CatBoost,7,178.83280584421553,69.3968912580195,0.9804408631475496,241.45062811124185,2398
test,CatBoost,8,192.71533309011167,83.74355319339209,0.9736388849146882,266.1030008740155,2293
test,CatBoost,9,201.37910453525046,96.21442326062498,0.9640060858451931,284.62190033832,2189
test,CatBoost,10,201.51097355350112,100.50727356116269,0.9616411402795387,284.8130685222188,2189
test,CatBoost,11,192.83794795985628,91.25348495686949,0.9704649973158151,272.5371949548661,2189
test,CatBoost,12,180.1836644257405,74.77881689481855,0.9791052753916151,246.07937532437043,2344
test,CatBoost,13,181.49298269332635,70.27886439110787,0.9798586424749518,245.06243275163024,2399
test,CatBoost,14,195.75926413851744,84.2432778235559,0.972803061066415,270.42215048538606,2293
test,CatBoost,15,204.11222442648895,97.2437182173698,0.9630261518666305,288.57367648388885,2189
test,CatBoost,16,205.12863592763784,102.12138895998723,0.9602498517298079,290.0017745241947,2189
test,CatBoost,17,196.2188355669354,93.04364575487186,0.9694153027240419,277.40301836155874,2189
test,CatBoost,18,182.81343628543797,76.33154833259864,0.9784865232031854,249.75357158305079,2344
test,CatBoost,19,183.46758525583712,71.62357851233318,0.9794130047679573,247.81275553556483,2398
test,CatBoost,20,197.66313683298995,85.59768012159321,0.9722664156769008,273.1190376893419,2292
test,CatBoost,21,206.62656193618642,98.8430929332386,0.9621101425046478,292.20948147967476,2188
test,CatBoost,22,207.30424905638668,103.37442066482653,0.9594092068375443,293.1690083562729,2188
test,CatBoost,23,198.2334238344115,93.82689164866535,0.9687877864178419,280.34408589980785,2188
test,CatBoost,24,185.78623173396647,77.30268200594712,0.97778128401467,253.8986183197213,2343
test,SVR,1,136.03307878151918,57.61175790005977,0.9886826601128754,183.48492364709958,2398
test,SVR,2,160.93484112491495,74.97960048006358,0.9816167307338755,221.99243203337312,2292
test,SVR,3,187.5941781813042,91.19540537333532,0.9687701615971266,264.78826873708886,2188
test,SVR,4,203.17161245449586,100.1709286206097,0.9610124606449707,286.8748633700861,2188
test,SVR,5,205.20392607261925,98.28369197840367,0.9665551651541686,289.90929770792343,2188
test,SVR,6,200.01195886498354,86.2072024906349,0.9742493402389816,273.1039085859401,2343
test,SVR,7,203.87791485505937,81.38747565641485,0.9745788220528,274.6185476580016,2398
test,SVR,8,213.07042737531947,92.00905481370876,0.9677761378410434,293.409702650647,2293
test,SVR,9,220.6315174983669,103.54512100140268,0.9567948646564135,311.1669723429156,2189
test,SVR,10,221.4727582336254,108.52513940819357,0.9536650269269343,312.5191534538679,2189
test,SVR,11,212.69851895975657,102.25301846392199,0.9640680370139401,300.17488566178105,2189
test,SVR,12,203.77533549676173,87.08920150417163,0.973275532819265,278.1195189651138,2344
