model,horizon,RMSE,MAE,R2,daylight_RMSE
Ridge,3,170.80110531880348,104.47187805175781,0.9741111993789673,235.81074409629855
Ridge,4,192.70933220461848,117.10189056396484,0.9649243950843811,265.6904184149289
Ridge,5,196.6496428454677,116.69486999511719,0.9692854881286621,269.76374211984086
Ridge,6,186.0872716126764,102.22830963134766,0.9777100086212158,247.40461387926862
Ridge,7,184.75566635424204,92.035400390625,0.9791238307952881,244.95282549656372
Ridge,8,204.37804852466422,116.28410339355469,0.9703516960144043,276.062775922434
Ridge,9,214.49480981482978,127.17591857910156,0.9591648578643799,296.9489907795613
Ridge,10,215.64300649453023,129.92068481445312,0.956072211265564,298.4333180335265
Ridge,11,205.7989480810094,122.7730484008789,0.9663613438606262,283.51479789421927
Ridge,12,187.68367045710184,100.3329086303711,0.9773296117782593,251.67259236953078
Ridge,13,184.6264810367137,83.49805450439453,0.9791571497917175,247.47672712550164
Ridge,14,204.21563932213908,108.72467041015625,0.9704025983810425,278.5130018284604
Ridge,15,215.85687713448002,122.13616943359375,0.9586488008499146,300.8040267350156
Ridge,16,219.21351784561554,129.36386108398438,0.9546036720275879,305.00665976335665
Ridge,17,210.14079171771957,124.08648681640625,0.9649212956428528,291.09393619156685
Ridge,18,192.354135077076,103.97985076904297,0.9761824011802673,257.57721839770693
Ridge,19,186.05439602774774,84.18228149414062,0.9788283705711365,249.3668623358966
Ridge,20,201.2196696865145,103.36075592041016,0.9712594151496887,275.133021804908
Ridge,21,209.8434870623818,113.24443054199219,0.9609211683273315,294.6804280699687
Ridge,22,210.31216567581154,116.15231323242188,0.9582227468490601,295.8786042239283
Ridge,23,201.47904279974134,108.0985107421875,0.9677573442459106,283.1588417964376
Ridge,24,187.76118267296357,88.68094635009766,0.9773063659667969,255.41697678746806
Random Forest,1,79.61002974460881,30.582683563232422,0.9961239099502563,107.54046295174203
Random Forest,2,114.92568080883837,50.11131286621094,0.9906253218650818,158.81498423873612
Random Forest,3,149.7781236633875,70.47447967529297,0.9800919890403748,211.84245694029326
Random Forest,4,170.9700323247469,81.64305877685547,0.9723917245864868,241.8157630950679
Random Forest,5,176.358693213221,79.40878295898438,0.9752969145774841,249.4373512277181
Random Forest,6,172.9692835357625,70.27114868164062,0.9807418584823608,236.40042334194328
