model,model_type,val_daylight_RMSE,test_daylight_RMSE,test_RMSE,test_R2,test_h1_RMSE,test_h12_RMSE,test_h24_RMSE,test_daily_total_RMSE,test_daily_total_R2,test_skill_vs_persistence_daylight,train_seconds
Random Forest,tabular_or_boosting,233.94062247448602,257.1323680276367,185.0395439156182,0.9745007753372192,79.61002974460881,181.88156130776423,189.03501866387086,2430.1861039846312,0.8406208157539368,0.24266914344166157,18.500011205673218
Ensemble_HistGradientBoosting_w0.3_iTransformer-mini_w0.7,ensemble,234.0603220859956,257.66860378206735,185.69429472590159,0.9743199944496155,90.6518279255857,180.04091874314295,187.70586615100765,2433.252761223133,0.8402183651924133,0.24108977058271241,0.0
Ensemble_XGBoost_w0.3_iTransformer-mini_w0.7,ensemble,234.35638259390333,257.7274784050005,185.71604459160227,0.9743139743804932,90.25737937282469,180.3377636114383,187.72229530945438,2433.0652477892986,0.8402429819107056,0.2409163674092515,0.0
Ensemble_Random Forest_w0.3_iTransformer-mini_w0.7,ensemble,235.8769955532968,259.0977132280407,186.70432214132055,0.9740398526191711,92.86570970526473,182.1129242736495,188.14702944107302,2444.557424156774,0.8387302160263062,0.23688062068401794,0.0
Ensemble_CatBoost_w0.3_iTransformer-mini_w0.7,ensemble,236.39213647560277,260.24882924808713,187.54303672757354,0.9738061428070068,95.51416677481672,182.41721153032682,188.0094641068635,2457.4714647376886,0.8370218276977539,0.23349024362590243,0.0
GRU,deep_sequence,236.64889439579048,259.5219162228886,187.34870979673173,0.9738603830337524,103.79334090965325,180.1692888820123,189.2904411050648,2432.5315003099136,0.8403130769729614,0.23563121742954996,14.786054849624634
Ridge,tabular_or_boosting,242.8026542405375,264.60825998067406,191.8178151756244,0.9725984334945679,81.49358319255879,185.37865598215453,187.2372429733198,2436.040742680631,0.839851975440979,0.22065043105721815,0.04169416427612305
Linear Regression,tabular_or_boosting,243.0724316561835,264.61028242020376,191.94210959948313,0.9725629091262817,81.65193253032962,185.46481935599,187.32436565687337,2438.365846217503,0.8395461440086365,0.2206444743747782,0.07451438903808594
iTransformer-mini,deep_sequence,243.3855689153529,266.34336684531866,192.16068918681052,0.9725003838539124,103.88872972590674,186.96906077610808,191.44064231831757,2518.7493920594798,0.8287926912307739,0.21554002827867602,7.1185383796691895
MLP,tabular_or_boosting,246.56314163414612,270.45821939349526,195.16013056590222,0.9716351628303528,112.55387598834614,184.21030780062227,197.99814550899208,2465.8342401710624,0.8359106779098511,0.20342057078358966,9.304529905319214
PatchTST-lite,deep_sequence,260.0295506043496,286.3762412674976,207.44390243207923,0.9679521322250366,184.3342327811088,196.93935456124558,199.78790511752706,2751.6541388771952,0.7956662178039551,0.15653728948756518,8.97385287284851
SeasonalPersistence_yesterday,baseline,309.33190356395505,339.52448365324113,244.3278726936409,0.9555426239967346,228.91554801935146,227.75629450686978,227.7508061182221,3062.491469375874,0.746894121170044,0.0,0.0
SVR,tabular_or_boosting,315.7394594440169,335.33942692442236,243.65729006126617,0.9557862877845764,149.77567862056242,236.6244139585981,215.26064324732008,2852.1682103270136,0.7804654836654663,0.012326229566092195,13.874779224395752
SeasonalPersistence_weekly,baseline,382.7452849154382,408.5137696577681,293.97552512921885,0.9356393814086914,273.2155885239713,280.3536689388958,280.15101954124674,3983.1645710414728,0.5718371868133545,-0.2031938470598964,0.0
Persistence_current,baseline,1861.6796179794203,1842.369330508951,1669.0036698581582,-1.074495792388916,260.5635269228984,2111.0382516667005,227.7508061182221,29463.690468099885,-22.42754364013672,-4.426322457471363,0.0
