epoch,train_loss,val_loss,lr,task,model
15,0.029109500250534007,0.02251238347557576,0.00035,multihorizon_20y_24h,PatchTST-standard
16,0.02857427881780075,0.022714564040222245,0.000175,multihorizon_20y_24h,PatchTST-standard
17,0.027652140772133543,0.021821598907041807,0.000175,multihorizon_20y_24h,PatchTST-standard
18,0.027526253540264934,0.021778858853908983,0.000175,multihorizon_20y_24h,PatchTST-standard
19,0.027280783444120174,0.022100776383329346,0.000175,multihorizon_20y_24h,PatchTST-standard
20,0.026787486461083792,0.022613699304992737,0.000175,multihorizon_20y_24h,PatchTST-standard
21,0.02670004772163971,0.022491564103604658,8.75e-05,multihorizon_20y_24h,PatchTST-standard
22,0.025719759070820976,0.02226094429826607,8.75e-05,multihorizon_20y_24h,PatchTST-standard
23,0.02555055629832354,0.022408620474617117,8.75e-05,multihorizon_20y_24h,PatchTST-standard
1,0.0752108666326916,0.02955851873949818,0.0007,multihorizon_20y_24h,iTransformer-standard
2,0.04558653873527608,0.026454916061914486,0.0007,multihorizon_20y_24h,iTransformer-standard
3,0.041100254206106676,0.025292926994354828,0.0007,multihorizon_20y_24h,iTransformer-standard
4,0.03784251313286218,0.024361136470637892,0.0007,multihorizon_20y_24h,iTransformer-standard
5,0.03574830741343791,0.025638020435429138,0.0007,multihorizon_20y_24h,iTransformer-standard
6,0.0349636132017388,0.02393488509013601,0.0007,multihorizon_20y_24h,iTransformer-standard
7,0.03383393825320472,0.024748237236686375,0.0007,multihorizon_20y_24h,iTransformer-standard
8,0.03332911748765854,0.024926788963215506,0.0007,multihorizon_20y_24h,iTransformer-standard
9,0.03284924453374935,0.02352605264067002,0.0007,multihorizon_20y_24h,iTransformer-standard
10,0.03189951819721718,0.024227033166781715,0.0007,multihorizon_20y_24h,iTransformer-standard
11,0.03175097542722323,0.02484237058493106,0.0007,multihorizon_20y_24h,iTransformer-standard
12,0.030806591374832288,0.023599397613788427,0.00035,multihorizon_20y_24h,iTransformer-standard
13,0.02878804252161617,0.023883715535149626,0.00035,multihorizon_20y_24h,iTransformer-standard
14,0.028151884587884646,0.023234341607388596,0.00035,multihorizon_20y_24h,iTransformer-standard
15,0.027927465399193486,0.023972976628852928,0.00035,multihorizon_20y_24h,iTransformer-standard
16,0.02750748590898444,0.02432088877843774,0.00035,multihorizon_20y_24h,iTransformer-standard
17,0.026970152639680438,0.024514208061863548,0.000175,multihorizon_20y_24h,iTransformer-standard
18,0.02500838273319236,0.023964051673512742,0.000175,multihorizon_20y_24h,iTransformer-standard
19,0.024183204114349963,0.02455791432167525,0.000175,multihorizon_20y_24h,iTransformer-standard
